time,pos_x,pos_y
3318.709,-0.7163996378757072,-4.321246391386239
3318.76,-0.6983797504327344,-4.319236448499935
3318.811,-0.6803402629897616,-4.317206905613631
3318.862,-0.6623203755467888,-4.315196962727327
3318.913,-0.644280888103816,-4.313167419841022
3318.964,-0.6262610006608432,-4.311157476954718
3319.015,-0.6082215132178704,-4.309127934068414
3319.066,-0.5902016257748977,-4.30711799118211
3319.117,-0.5721621383319249,-4.305088448295805
3319.168,-0.5541422508889521,-4.303078505409501
3319.219,-0.5361027634459793,-4.301048962523197
3319.27,-0.5180828760030065,-4.299039019636893
3319.321,-0.5000433885600337,-4.297009476750588
3319.372,-0.48202350111706377,-4.294999533864284
3319.423,-0.4639840136740938,-4.29296999097798
3319.474,-0.44596412623112386,-4.290960048091676
3319.525,-0.4279246387881539,-4.2889305052053714
3319.576,-0.40990475134518395,-4.286920562319067
3319.627,-0.391865263902214,-4.284891019432763
3319.678,-0.37384537645924404,-4.282881076546459
3319.729,-0.3558058890162741,-4.2808515336601545
3319.78,-0.33778600157330413,-4.27884159077385
3319.831,-0.31974651413033417,-4.276812047887546
3319.882,-0.3017266266873642,-4.274802105001242
3319.933,-0.28368713924439426,-4.2727725621149375
3319.984,-0.2656672518014243,-4.270762619228633
3320.035,-0.24762776435845435,-4.268733076342329
3320.086,-0.2296078769154844,-4.266723133456025
3320.137,-0.21156838947251444,-4.2646935905697205
3320.188,-0.1935485020295445,-4.262683647683416
3320.239,-0.17550901458657453,-4.260654104797112
3320.29,-0.15748912714360458,-4.258644161910808
3320.341,-0.13944963970063462,-4.2566146190245036
3320.392,-0.12142975225766459,-4.254604676138199
3320.443,-0.10339026481469428,-4.252575133251895
3320.494,-0.08537037737172397,-4.250565190365591
3320.545,-0.06733088992875366,-4.248535647479287
3320.596,-0.049311002485783385,-4.246525704592982
3320.647,-0.03127151504281313,-4.244496161706678
3320.698,-0.013251627599842846,-4.242486218820374
3320.749,0.004787859843127431,-4.24045667593407
3320.8,0.022807747286097708,-4.238446733047765
3320.851,0.040847234729067976,-4.236417190161461
3320.902,0.05886712217203823,-4.234407247275157
3320.953,0.07690660961500853,-4.232377704388853
3321.007,0.09492649705797884,-4.230367761502548
3321.055,0.11295631305724835,-4.22806131387529
3321.106,0.13089787541537343,-4.225117573660163
3321.157,0.14876880886225755,-4.221665358951879
3321.208,0.16651609570411105,-4.217714478874171
3321.259,0.18416520536131917,-4.21326083123248
3321.31,0.20166298627799403,-4.208372535979485
3321.361,0.21903274466301656,-4.203125506651265
3321.412,0.23621806318426186,-4.197537673680032
3321.463,0.2532412055435186,-4.19147362777337
3321.514,0.2700480492093409,-4.184925859307112
3321.565,0.28666333237630576,-4.177861062311394
3321.616,0.3030335696091339,-4.170324746127604
3321.667,0.31918386357884465,-4.162284430338022
3321.718,0.33506111719230086,-4.153786439072583
3321.769,0.35069084495682784,-4.144799095042441
3321.82,0.36602038434483275,-4.135369513202021
3321.871,0.38107570735511864,-4.125466794400126
3321.922,0.3958046312874164,-4.1151388180803545
3321.973,0.4102336295169201,-4.104355435200064
3322.024,0.4243110424655126,-4.093165260712254
3322.075,0.43806388802661966,-4.0815388658944265
3322.126,0.4514410709628747,-4.069525569650295
3322.177,0.4644701937025077,-4.057096630445286
3322.228,0.47710076586814015,-4.044302037608207
3322.279,0.48936101339033533,-4.031113702217717
3322.33,0.5012010877522795,-4.0175822477046585
3322.383,0.512649875365592,-4.003680200563663
3322.432,0.5236582052851531,-3.989458780299832
3322.483,0.5342556584100732,-3.9748910895065563
3322.534,0.5443973914421244,-3.960031344932344
3322.585,0.554389356072012,-3.945035273679526
3322.636,0.5643617207018996,-3.930058802426708
3322.687,0.5743536853317872,-3.91506273117389
3322.739,0.5843260499616748,-3.900086259921072
3322.789,0.5943180145915624,-3.8850901886682543
3322.84,0.60429037922145,-3.8701137174154363
3322.891,0.6142823438513376,-3.8551176461626184
3322.942,0.6242547084812252,-3.8401411749098004
3322.993,0.6342466731111128,-3.8251451036569826
3323.044,0.6442190377410004,-3.8101686324041646
3323.095,0.654211002370888,-3.7951725611513467
3323.146,0.6641833670007756,-3.7801960898985287
3323.197,0.6741753316306632,-3.765200018645711
3323.248,0.6841476962605508,-3.750223547392893
3323.299,0.6941396608904384,-3.735227476140075
3323.35,0.704112025520326,-3.720251004887257
3323.401,0.7141039901502136,-3.705254933634439
3323.452,0.7240763547801012,-3.690278462381621
3323.503,0.7340683194099888,-3.6752823911288033
3323.554,0.7440406840398764,-3.6603059198759853
3323.605,0.754032648669764,-3.6453098486231674
3323.656,0.7639349007255516,-3.6302864687910765
3323.707,0.7734478102786028,-3.614977498216935
3323.758,0.7824804161229253,-3.599405681063655
3323.809,0.7910639491254605,-3.583545247797491
3323.86,0.7991516314457212,-3.567449053401487
3323.911,0.806775483201579,-3.551091766338683
3323.962,0.8138895279220933,-3.5345266566411184
3324.013,0.8205265988199106,-3.5177287841955365
3324.064,0.8266415436321528,-3.5007517871164984
3324.119,0.8323014684052199,-3.4835712254213984
3324.166,0.8374933906692843,-3.4662423175187755
3324.217,0.8421894469430212,-3.4487408749556394
3324.27,0.8463534379872492,-3.431120782043538
3324.322,0.8500136641611057,-3.413357638291917
3324.37,0.8531347717202751,-3.3955055419075655
3324.421,0.855745912479722,-3.3775402815115627
3324.472,0.8578125887459798,-3.3595161205347717
3324.523,0.8593648132230212,-3.3414089877546176
3324.574,0.8603689524146931,-3.3232732628051935
3324.625,0.8608730065748655,-3.305084965249747
3324.676,0.8610462803547363,-3.286898541117973
3324.727,0.8609541284501084,-3.2686900511261494
3324.778,0.860731960582253,-3.2505051439087382
3324.829,0.8605009059996833,-3.232300636691327
3324.88,0.8602787381318279,-3.214115729473916
3324.931,0.8600476835492582,-3.195911222256505
3324.982,0.8598255156814028,-3.1777263150390938
3325.033,0.8595944610988331,-3.1595218078216827
3325.084,0.8593722932309776,-3.1413369006042715
3325.135,0.859141238648408,-3.1231323933868604
3325.186,0.8589190707805525,-3.1049474861694493
3325.237,0.8586880161979829,-3.086742978952038
3325.288,0.8584658483301274,-3.068558071734627
3325.339,0.8582347937475577,-3.050353564517216
3325.39,0.8580126258797023,-3.032168657299805
3325.441,0.8577815712971326,-3.0139641500823937
3325.492,0.8575594034292772,-2.9957792428649825
3325.543,0.8573283488467075,-2.9775747356475715
3325.594,0.857106180978852,-2.9593898284301603
3325.645,0.8568751263962824,-2.9411853212127492
3325.696,0.8566529585284269,-2.923000413995338
3325.747,0.8564219039458573,-2.904795906777927
3325.798,0.8561997360780018,-2.886610999560516
3325.849,0.8559686814954321,-2.8684064923431047
3325.9,0.8557465136275767,-2.8502215851256936
3325.952,0.855515459045007,-2.8320170779082825
3326.001,0.8552932911771516,-2.8138321706908713
3326.056,0.8550622365945819,-2.7956276634734603
3326.104,0.8548400687267265,-2.777442756256049
3326.155,0.8546090141441568,-2.759238249038638
3326.206,0.8543868462763013,-2.741053341821227
3326.257,0.8541557916937317,-2.7228488346038158
3326.308,0.8539336238258762,-2.7046639273864046
3326.359,0.8537025692433066,-2.6864594201689935
3326.41,0.8534804013754511,-2.6682745129515824
3326.461,0.8532493467928814,-2.6500700057341713
3326.512,0.853027178925026,-2.63188509851676
3326.563,0.8527961243424563,-2.613680591299349
3326.614,0.8525739564746009,-2.595495684081938
