time,vel_x,vel_y
3307.682,0.3514177946991298,0.03632203626503146
3307.71,0.36200415691845533,0.03565726446723272
3307.733,0.3602690344450279,0.03566307432867933
3307.749,0.3590530156408634,0.03566877271833201
3307.775,0.3576402583165594,0.03537682439036239
3307.796,0.35660550357679843,0.03516028632736846
3307.823,0.3554086701857646,0.03472965766958086
3307.848,0.35452640683120007,0.0343627607273733
3307.87,0.3537117560202712,0.03391895590174631
3307.89,0.3531150425469845,0.03354796457902675
3307.911,0.3525232993330065,0.033240002268739466
3307.942,0.35186621500393506,0.032818114091066226
3307.969,0.36090463846507737,0.03188313240677413
3307.997,0.35853353495449763,0.03185921337675673
3308.021,0.35637323099236534,0.03190634632881744
3308.043,0.3552056311650306,0.031892198250344304
3308.069,0.35374636233454215,0.03187731241803086
3308.092,0.352677294284617,0.031900429988384126
3308.113,0.35187705893828186,0.031908281544321154
3308.131,0.35118002970319745,0.03188981836818369
3308.154,0.3505701358611152,0.031863856040604266
3308.18,0.3499866122247875,0.03181847116353642
3308.203,0.34955119311712324,0.03178693899802791
3308.22,0.3492982463176998,0.031790513504779884
3308.244,0.3491117881745803,0.03181115867668096
3308.265,0.3489377998375882,0.03181917980161659
3308.292,0.34893944511595876,0.03192104389151189
3308.312,0.3489259657740282,0.031990547462520905
3308.335,0.34905833678040776,0.03214134728937415
3308.372,0.34944767422111644,0.032330153125216525
3308.398,0.34966394457551847,0.03252841696446442
3308.422,0.3498271152193927,0.03267419764820041
3308.441,0.3500420571496369,0.03282139409247622
3308.468,0.35030571426950396,0.033002672312496616
3308.5,0.3506920246870527,0.03320287301531646
3308.527,0.35096004036060036,0.03332074488798521
3308.548,0.351172949885431,0.03340095645705401
3308.573,0.3513831587681572,0.03347660727138882
3308.594,0.35155398973361557,0.03349929694377424
3308.614,0.35169592255822724,0.033516950423531894
3308.635,0.35181466144202433,0.03338246916474302
3308.659,0.3519506438117223,0.03326029579367973
